date,equity
2010-02-11,9999.0
2010-02-12,10042.974720473756
2010-02-16,10431.24876505281
2010-02-17,10610.921055305314
2010-02-18,10807.815568317617
2010-02-19,10807.815568317617
2010-02-22,10731.42823759368
2010-02-23,10316.498449361117
2010-02-24,10625.917934674802
2010-02-25,10619.000019352748
2010-02-26,10754.600835071049
2010-03-01,11213.505343777366
2010-03-02,11280.797792819163
2010-03-03,11343.30091586877
2010-03-04,11468.452293058654
2010-03-05,11978.394568651453
2010-03-08,12040.946068731282
2010-03-09,12254.143640929125
2010-03-10,12553.210441774841
2010-03-11,12669.12180619191
2010-03-12,12696.938598570801
2010-03-15,12613.343090343464
2010-03-16,12849.810014079125
2010-03-17,12942.548781018826
2010-03-18,13072.441107170678
2010-03-19,12840.570001306312
2010-03-22,13188.255717527301
2010-03-23,13464.004789804972
2010-03-24,13271.657717633741
2010-03-25,13188.255717527301
2010-03-26,13257.725132929185
2010-03-29,13440.78381529738
2010-03-30,13579.86777719182
2010-03-31,13396.809094823622
2010-04-01,13371.314399895495
2010-04-05,13758.427395749168
2010-04-06,13862.776649942669
2010-04-07,13786.099057037385
2010-04-08,13834.911480533554
2010-04-09,14082.940514492788
2010-04-12,14138.52572222034
2010-04-13,14354.093768899167
2010-04-14,14857.069752139689
2010-04-15,15054.109396242664
2010-04-16,14518.672425721737
2010-04-19,14497.725171634678
2010-04-20,14711.067874923192
2010-04-21,14970.562265045552
2010-04-22,15190.774506625898
2010-04-23,15392.409968600168
2010-04-26,15278.965832724527
2010-04-27,14335.565366323315
2010-04-28,14370.445205114931
2010-04-29,15100.406214167178
2010-04-30,14212.687709553968
2010-05-03,14792.147777578874
2010-05-04,13487.274141342792
2010-05-05,13264.691425281462
2010-05-06,11964.461983946896
2010-05-07,11092.949784458777
2010-05-10,12747.879611396833
2010-05-11,12740.86494201433
2010-05-12,13424.529133142065
2010-05-13,12821.993221700235
2010-05-14,12031.70605595847
2010-05-17,12191.64051787952
2010-05-18,11728.140191301909
2010-05-19,11419.785000653155
2010-05-20,10263.235339084325
2010-05-21,10342.04152131947
2010-05-24,10427.717241846445
2010-05-25,10353.603631543043
2010-05-26,10033.783084731167
2010-05-27,11120.863330898113
2010-05-28,10963.202589397597
2010-06-01,10661.910445161571
2010-06-02,11410.544987880341
2010-06-03,11709.51503466561
2010-06-04,10552.916996066555
2010-06-07,9938.673843310482
2010-06-08,9884.298061338533
2010-06-09,9665.150114423119
2010-06-10,10469.418241899666
2010-06-11,10741.829299091873
2010-06-14,10746.473493993391
2010-06-15,11532.213218894089
2010-06-16,11767.470716874144
2010-06-17,11883.382081291216
2010-06-18,11918.213543052605
2010-06-21,11602.892060051576
2010-06-22,11327.191364804126
2010-06-23,11178.770636076424
2010-06-24,10636.367373203218
2010-06-25,10625.917934674802
2010-06-28,10532.066496039944
2010-06-29,9356.94005486504
2010-06-30,8895.761825738186
2010-07-01,8807.570499639556
2010-07-02,8760.161010019885
2010-07-06,8805.296779219021
2010-07-07,9637.381699074454
2010-07-08,9799.638258446264
2010-07-09,10075.435707754163
2010-07-12,10187.767171934645
2010-07-13,10537.823362636618
2010-07-14,10705.93354266555
2010-07-15,10741.829299091873
2010-07-16,9878.44444068141
2010-07-19,10100.930402682292
2010-07-20,10422.008752279997
2010-07-21,10054.633584757776
2010-07-22,10731.42823759368
2010-07-23,11014.24035628408
2010-07-26,11255.157966800361
2010-07-27,11251.771574684672
2010-07-28,11023.528746087117
2010-07-29,10759.245029972568
2010-07-30,10832.245968580815
2010-08-02,11416.301854477017
2010-08-03,11298.165146669635
2010-08-04,11626.064657528945
2010-08-05,11556.546865096836
2010-08-06,11503.235377789819
2010-08-09,11702.54874231333
2010-08-10,11454.56808538432
2010-08-11,10513.489716433869
2010-08-12,10214.61642370905
