date,equity
2010-02-11,10000.0
2010-02-12,10000.0
2010-02-16,9999.0
2010-02-17,10171.2270526472
2010-02-18,10359.96267576893
2010-02-19,10359.96267576893
2010-02-22,10286.740673579934
2010-02-23,9889.004693355098
2010-02-24,10185.602493228955
2010-02-25,10178.971241605757
2010-02-26,10308.953047898192
2010-03-01,10748.841529699846
2010-03-02,10813.345522761843
2010-03-03,10873.258649315474
2010-03-04,10993.224019589656
2010-03-05,11482.035371758244
2010-03-08,11541.99487070085
2010-03-09,11746.357988906615
2010-03-10,12033.032097540163
2010-03-11,12144.140341520422
2010-03-12,12170.804465180128
2010-03-15,12090.672977034097
2010-03-16,12317.341214336067
2010-03-17,12406.23708399807
2010-03-18,12530.746948391645
2010-03-19,12308.484088042147
2010-03-22,12641.76244759396
2010-03-23,12906.085064742329
2010-03-24,12721.708446184099
2010-03-25,12641.76244759396
2010-03-26,12708.353198159759
2010-03-29,12883.826318035099
2010-03-30,13017.146936333616
2010-03-31,12841.673816458277
2010-04-01,12817.235567469297
2010-04-05,13188.307424034429
2010-04-06,13288.33266705005
2010-04-07,13214.832430527213
2010-04-08,13261.62217100137
2010-04-09,13499.373409267982
2010-04-12,13552.655284198418
2010-04-13,13759.290649463881
2010-04-14,14241.4243776203
2010-04-15,14430.299117908951
2010-04-16,13917.049516751382
2010-04-19,13896.9702723259
2010-04-20,14101.472507698583
2010-04-21,14350.214002151894
2010-04-22,14561.301116758801
2010-04-23,14754.581233999925
2010-04-26,14645.837981857305
2010-04-27,13741.530024487069
2010-04-28,13774.964516936889
2010-04-29,14474.677494156493
2010-04-30,13623.744156494638
2010-05-03,14179.192631618
2010-05-04,12928.390183838534
2010-05-05,12715.030822171928
2010-05-06,11467.680123733906
2010-05-07,11467.680123733906
2010-05-10,11467.680123733906
2010-05-11,11467.680123733906
2010-05-12,11467.680123733906
2010-05-13,11467.680123733906
2010-05-14,11467.680123733906
2010-05-17,11467.680123733906
2010-05-18,11467.680123733906
2010-05-19,11467.680123733906
2010-05-20,11467.680123733906
2010-05-21,11467.680123733906
2010-05-24,11467.680123733906
2010-05-25,11467.680123733906
2010-05-26,11467.680123733906
2010-05-27,11467.680123733906
2010-05-28,11467.680123733906
2010-06-01,11467.680123733906
2010-06-02,11467.680123733906
2010-06-03,11467.680123733906
2010-06-04,11467.680123733906
2010-06-07,11467.680123733906
2010-06-08,11467.680123733906
2010-06-09,11467.680123733906
2010-06-10,11467.680123733906
2010-06-11,11467.680123733906
2010-06-14,11467.680123733906
2010-06-15,11467.680123733906
2010-06-16,11467.680123733906
2010-06-17,11467.680123733906
2010-06-18,11467.680123733906
2010-06-21,11467.680123733906
2010-06-22,11467.680123733906
2010-06-23,11467.680123733906
2010-06-24,11467.680123733906
2010-06-25,11467.680123733906
2010-06-28,11467.680123733906
2010-06-29,11467.680123733906
2010-06-30,11467.680123733906
2010-07-01,11467.680123733906
2010-07-02,11467.680123733906
2010-07-06,11467.680123733906
2010-07-07,11467.680123733906
2010-07-08,11467.680123733906
2010-07-09,11467.680123733906
2010-07-12,11467.680123733906
2010-07-13,11467.680123733906
2010-07-14,11467.680123733906
2010-07-15,11467.680123733906
2010-07-16,11467.680123733906
2010-07-19,11467.680123733906
2010-07-20,11467.680123733906
2010-07-21,11467.680123733906
